 cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17,3,10,7,55,0,2,0,170.0,11.0,44,2,0,0.0,11,59.0,29.0,1, ,-0.20836604528906882,-0.0441203478840847,0.14121323280006662,0.8684356702867656,-1.3836369368234913,0.49268270562025374,0.6573518807649972,-1.7084664346423268,1.1418461663114645,1.2805151425655887,1.1450449403765584,-1.0441351994091042,-3.4027110014471416,-1.26888656390555,-1.2657456111611463,-1.659354056770056,1.7449008984719725,0.11476267933365526,1.4160595784780294,0.7358095403542686,-2.3832878328115568,0.4906821740283985,2.5354360965735134,1.5251981717401815,-0.5870848519874876,1.583641561929324,-0.6381111357684722,-2.073078644721239,0.5458961628985377,0.3500315646110895,0.1922449631243326,0.15622003244275814,-0.01607223456627002,0.23081441538217384,-2.0569586756830005,-1.1964071344343448,3.194345517383347,-1.6931465947988522,-2.8972271276937422,-0.6472124981883013,0.30393812534665265,1.6493738854925857,-2.571757426994363,0.07617116048868887,1.666284408059286,-0.5732633284062629,2.114727397494164,2.054874113843715,1.5657104874779022,-0.3018216889351978
34,1,9,27,2415,0,60,0,829.0,70.0,9,25,11,19.0,0,263.0,177.0,2, ,-0.17485275888418866,-0.4222577035095722,0.06883704248049399,0.5253609688626594,-1.3206912142327254,0.4044948930889081,0.823176840961953,-1.0959554838885626,1.0817232954522922,1.4538849633490196,0.33880807417569575,-0.8682904493935049,-2.7005028198394023,-1.3162644370698255,-1.093189729658003,-1.9657584050632897,1.7298075842371476,-0.03176613735820663,1.4888443058424812,0.7486646660317088,-2.262863869831459,0.44606938457771683,2.603429763545022,1.2097645029218138,-0.49655581544460564,1.4190265000160405,-0.6693256368877695,-1.9721436337792764,0.7463083772609197,0.2965162286926781,0.2845147087411158,0.2399077207609902,0.1263070869598639,0.23728224641364215,-1.5780968557661958,-1.192560978419806,2.651256302663713,-1.1675382196294202,-2.705373520278739,-0.5882170579637125,0.43795048904648076,1.5012449931471163,-2.34039552134255,0.4937820001002752,1.6885660835205167,-0.637745032084195,2.078294296058266,1.6660921586132416,1.2540725447662617,-0.2600781194348251
179,1,174,5,120,0,6,0,138.0,16.0,18,5,0,1.0,16,99.0,46.0,0, ,0.10569505130885377,-0.4189438031459282,-1.0301395359915146,-0.6129176609741204,0.03842451844098884,-0.8985520403288701,1.044749103349714,-0.6195073748381207,0.9375908065827468,0.8504159395666546,-0.10058464625088637,-0.23586559323003045,-1.3566128854246762,-0.8254493715794372,-1.2642839920281508,-1.386285859184893,0.9469655196890384,0.8275506440473681,-0.36276555843143693,-0.6685118413216496,-2.252361348318397,0.40220975033422984,1.8894497179942247,-0.26356379249479667,0.5305121735342525,0.27141001689923633,-0.701871678298409,-1.7388304010317839,1.2934926029596763,0.3673760060419479,-1.081149737875702,0.42368457481178323,-0.08163879010129887,-0.01634696573091978,-1.4234847419449563,0.055180669708900724,1.5573116105677436,-0.9696322147309565,-2.346554291177169,-0.6543034416759684,1.162650551548938,0.5776760023295492,-0.8327248618855403,0.591685889725745,1.9913133910738523,-0.679043163626255,1.0215083811297825,0.7541309701615995,0.37144059093667714,-0.7822827385091645
5,1,1,4,3,0,7,0,40.0,3.0,11,7,0,0.0,3,12.0,10.0,0, ,-0.27536721396202096,-0.3618963569850227,0.15225008510349544,0.5048589021249009,-1.6243179118459792,0.5285299364806115,0.6270160036521855,-1.0895833353080742,1.229712174356464,1.549129666689471,0.4934706888132219,-0.8866651179761316,-2.8733100874680355,-1.4447516346052198,-1.0601569406610796,-2.039227816801149,1.6195805424865675,0.06169040518780925,1.6743621290557837,0.7493464776377561,-2.2985668964156543,0.44885861342163624,2.4564289302894218,1.1673295918321318,-0.5618464592357955,1.7693296452739051,-0.6400971624279244,-2.056040414837155,0.4728381039258131,0.17765806939668644,0.31468265297077247,0.002104428233900043,0.3444723945470144,0.32419873929935683,-1.668544547191866,-1.1823579953682268,3.0995953749699576,-0.9965130506140181,-2.6083740050721027,-0.5338827339795196,0.622347663999833,1.5776021769719837,-2.4576719120751025,0.32998665033461466,1.7380826739582114,-0.721850190298785,2.1814555137027383,1.9493995257531558,1.498424152357196,-0.2788844844924395
5,1,0,5,0,0,0,0,19.0,1.0,10,0,0,0.0,1,7.0,3.0,0, ,-0.5382642782074858,-0.05844524168283343,-1.6960215900042097,-0.4005576130854436,0.3979563036281399,-0.7678985647151979,1.2588488072671622,-0.24367242619893312,0.6276839769445,1.2126847562600453,0.15398209479689384,0.1491631303502267,-1.4658652334308107,-0.5680286678805962,-1.0894346286951295,-2.211703281816709,1.2378824206464436,1.042002400771997,-0.28869770358990743,-0.5861105525582191,-2.0484978934522,0.473026287627708,1.7406673643653356,-1.0611365210454469,0.7391668122577058,0.10891997360402184,-0.705820354475318,-1.9920565772940146,1.0255587589702484,0.604113025074145,-1.7443022839584346,1.3284242118565501,-0.25051758447600675,0.41765664955604703,-2.6151412007901444,0.9931451745447523,1.365550041582378,-1.085144411740658,-1.7965446305001789,-0.7617035665136158,1.670467692454029,1.500905309250924,-1.3311635442574072,1.2723191318155924,2.107894358612489,-0.9752951654410159,1.2712097621281988,-0.08003218621116544,-0.25591837391664873,-0.453285434496128
128,1,122,6,465,0,11,0,240.0,31.0,18,3,4,7.0,27,72.0,66.0,0, ,-0.03914326330269466,-0.5989030283133557,-1.2821999532061756,-1.5672255364753385,0.15800810201993412,-1.1567124856893616,1.0689367501317866,0.12295084510614437,0.8622731499086232,0.8419124739378488,-0.8966674137642792,0.4112238303739669,-0.20601895973916817,-0.5243530120128471,-1.0569064794328817,-1.312637798124394,0.6772845343710383,0.8738418839697961,-0.8880662086922061,-1.081817708834314,-2.2389755434522867,0.19169693699857868,1.5567554677505038,-1.3233667868730463,1.2643824111513216,-0.4208712687493043,-0.8364476064460444,-1.5401002781914501,1.9314213001846312,0.022265014561859846,-1.3207151393381094,0.5697153688450676,0.04501369356457776,-0.11144528236826204,-0.5534911160052339,0.9563038773151362,0.9965630341045367,0.09448751230707346,-1.8547729351853768,-0.5045456560927023,1.474234296467853,0.33529018153804585,0.2916377009621736,0.8622203775842133,1.617246534019648,-0.7611643294911916,0.41198187823000626,-0.2716295937949703,-0.3304747314133375,-0.806495107949514
0,2,0,0,0,0,1,2,4.0,1.0,19,0,0,1.0,1,1.0,1.0,0, ,-0.02447168818889308,-0.3589603649982664,-0.7873448582152346,-0.915103638023867,-0.3297237110676266,-0.5581138209652532,0.8865038959925969,-0.5909389141494403,0.9052350862862757,0.8645835922158139,-0.124176191043594,-0.10947606865456296,-1.3470082277029498,-0.8787125608643727,-1.024164574915809,-1.2206586667539425,1.0631665464065216,0.5256326438581301,-0.10590453584628269,-0.44107484816555537,-2.0531103428448056,0.3186435910134598,1.8694886641008326,0.05823701486920226,0.5060502641248863,-0.02617806512935656,-0.8047252497534411,-1.7566159021686352,1.6470846543285664,-0.11135937225697247,-0.627338602685974,0.4552221265822616,-0.03976642468225104,-0.30772879912354484,-0.8321955212673177,-0.09501955148447935,1.8477083672307568,-0.07731709695107715,-2.2110482494592945,-0.36509729883471925,0.8674882004222862,0.8215215782507477,-0.5495162685802393,0.267025467180441,1.8427382252777174,-0.47484082491738877,0.6942266878489789,0.7642663129596382,0.4335833039436761,-0.40501580537929516
1,2,0,1,21,0,8,6,345.0,7.0,35,8,6,0.0,1,32.0,51.0,0, ,-0.11305537175694266,-0.854019840206483,0.1288971663395645,1.4212052786025773,-1.6734955855604114,1.1654645902017544,1.3223976029677391,-0.7452417087512586,1.163658248131689,1.8842300149668116,0.44167902803136316,-1.006108698118934,-3.273904059701675,-1.7915081114525002,-1.5393029585017235,-2.4061721907489857,1.1521554125277045,-0.15052456969217562,2.999954128576941,0.6330613167496725,-2.681733293688161,0.98096012427157,2.890999452405146,1.6259549666990747,-0.5346263594359769,1.6283372763973598,-0.2485966615114853,-2.29900735040191,0.23471830581548264,-0.20936277651474164,0.9457961161661008,0.2967563648310708,0.5377131428851726,0.0016737312208710453,-2.872074544702478,-2.1427079632357597,3.2145052069828863,-1.415321819920589,-3.6090042847629897,-1.0407403458246385,-0.12096107562625087,1.6082567598655657,-3.640351957173263,0.4678889240543423,1.884300381058979,-0.4727413721438314,2.691273361567658,2.1857236014085903,1.7312071779337008,-0.3033879671253751
6,1,4,2,21,0,18,0,44.0,7.0,18,4,0,1.0,7,20.0,13.0,1, ,-0.14692429002439797,-0.3152057728596104,-0.23970352570020204,0.28923418919692795,-1.1265328105345174,0.30279413738242283,1.1034500943005794,-0.7457498915757829,0.9999228186931415,1.296706946706447,0.7309619992332572,-0.9336528616285976,-2.5421951071342948,-1.504085847677537,-1.6282050201673421,-1.657239358445567,1.1910334195703811,0.6028161785343255,1.7942185468245118,0.20920295068185982,-2.5239190305081056,0.7829997349684947,2.37641813267339,0.7498425088423804,-0.09343372179347333,1.0681609272490247,-0.6371841484366222,-1.915653593457558,1.0612538569271048,-0.16082578641440098,0.018789117702647854,0.3177486881428374,0.19489376515131301,0.33397786434977694,-2.307193622494781,-0.8200722657009342,2.970644342726023,-1.0664899352399464,-2.9172206445514295,-0.7326204656032225,0.547912980566781,1.202753376755138,-2.2673234457333815,0.2895988450388434,1.9235756120220169,-0.45515462682782537,1.6936131244928718,1.4961201197170495,1.4543533478625617,-0.2290606610930883
16,2,13,3,231,3,16,0,182.0,22.0,41,0,0,0.0,20,57.0,60.0,0, ,0.2459140817685831,-0.3648216625935037,-0.39777391161710435,-0.143979579871015,-1.1165806405114913,0.01790479188285713,1.2129005909108952,-0.6472233430075746,0.7529490648420221,1.2702771891687283,-0.034115905998762144,-0.2942113060691881,-1.8314795241978892,-0.8484957147105012,-1.1774431726956802,-1.435356878199908,0.9265501124798983,0.41724003838565843,0.9151584728983575,-0.2088030888088933,-2.664545107339493,0.43485528315454547,1.7817604654900743,0.0008945180537227425,0.17915989121315484,0.6391748667144278,-0.3715464755467505,-1.7899679851077543,0.9884152185202866,-0.1401638231797342,-0.5845561927641909,0.621546224432043,-0.03310212016173813,-0.05174680190373945,-1.5780894172334727,-0.15055558951682743,2.105473433895919,-0.6828251857221195,-2.678591594147902,-0.7924830514169403,0.7757817602101763,0.7427997826779245,-1.4062393284156194,0.5696602248954935,1.4679636076694758,-0.5851231410612723,1.4833330115900898,1.0837548434845854,0.5688943197673428,-0.8652526386084556
